study,role,population,modality,n_total,n_pos,n_neg,auc,ci_lower,ci_upper,se_from_ci,source_note
"Amini et al., 2024",primary,NA,NLP,166,NA,NA,0.794,0.760,0.827,0.0171,"F1 for prognostic prediction (6-year follow-up)."
"Mirheidari et al., 2023 (pr-AD vs. nonP)",primary,NA,Acoustic+NLP,44,NA,NA,0.750,NA,NA,NA,"F1 for prognostic prediction (48-month follow-up). 95% CI not reported in source."
